
sVehicle ID: 1, Time: 2023-10-24 21:11:14.832278, Speed: 37.67716821896807 km/h
Vehicle ID: 17, Time: 2023-10-25 13:38:53.282166, Speed: 38.3905687231988 km/h
Vehicle ID: 21, Time: 2023-10-25 13:38:55.256538, Speed: 39.845379971405364 km/h
Vehicle ID: 27, Time: 2023-10-25 13:39:00.173327, Speed: 39.315712881534665 km/h
Vehicle ID: 33, Time: 2023-10-25 13:39:02.012730, Speed: 33.13783055818485 km/h
Vehicle ID: 48, Time: 2023-10-25 13:39:09.121091, Speed: 30.002138767121163 km/h
Vehicle ID: 44, Time: 2023-10-25 13:39:13.025538, Speed: 27.09035924095654 km/h
Vehicle ID: 53, Time: 2023-10-25 13:39:19.638609, Speed: 21.105776187414385 km/h
Vehicle ID: 72, Time: 2023-10-25 13:39:27.131275, Speed: 40.6771117852543 km/h
Vehicle ID: 58, Time: 2023-10-25 13:39:28.838134, Speed: 23.29078750640325 km/h
Vehicle ID: 1, Time: 2023-10-28 13:42:44.241937, Speed: 38.45476549447863 km/h
Vehicle ID: 0, Time: 2023-10-28 13:42:45.933571, Speed: 33.85176332117095 km/h
Vehicle ID: 2, Time: 2023-10-28 13:42:46.691274, Speed: 47.44959144848028 km/h
Vehicle ID: 1, Time: 2023-10-30 14:05:32.157565, Speed: 42.67520425432334 km/h
Vehicle ID: 0, Time: 2023-10-30 14:05:33.750474, Speed: 35.5551687526005 km/h
Vehicle ID: 2, Time: 2023-10-30 14:05:34.479960, Speed: 49.2822643184459 km/h
Vehicle ID: 1, Time: 2023-10-30 14:11:47.496296, Speed: 38.55084413856914 km/h
Vehicle ID: 0, Time: 2023-10-30 14:11:49.202347, Speed: 32.567962879043925 km/h
Vehicle ID: 2, Time: 2023-10-30 14:11:49.986414, Speed: 45.914420560375376 km/h
Vehicle ID: 1, Time: 2023-10-30 14:21:09.383876, Speed: 41.973634115533095 km/h
Vehicle ID: 0, Time: 2023-10-30 14:21:10.955529, Speed: 36.33716434526179 km/h
Vehicle ID: 2, Time: 2023-10-30 14:21:11.689398, Speed: 48.98833876278565 km/h
Vehicle ID: 19, Time: 2023-10-30 14:21:20.702974, Speed: 48.37555037040573 km/h
Vehicle ID: 17, Time: 2023-10-30 14:21:23.338178, Speed: 41.92844657123507 km/h
Vehicle ID: 21, Time: 2023-10-30 14:21:25.258532, Speed: 40.56211409295912 km/h
Vehicle ID: 27, Time: 2023-10-30 14:21:30.020562, Speed: 40.67428477532093 km/h
Vehicle ID: 33, Time: 2023-10-30 14:21:31.810895, Speed: 35.13552271424719 km/h
Vehicle ID: 48, Time: 2023-10-30 14:21:39.072963, Speed: 27.96151403890929 km/h
Vehicle ID: 44, Time: 2023-10-30 14:21:43.170165, Speed: 24.939053189349245 km/h
Vehicle ID: 53, Time: 2023-10-30 14:21:50.049709, Speed: 20.765802995794303 km/h
Vehicle ID: 58, Time: 2023-10-30 14:21:59.549527, Speed: 22.54170638966809 km/h
Vehicle ID: 65, Time: 2023-10-30 14:22:06.482554, Speed: 18.710807476444657 km/h
Vehicle ID: 1, Time: 2023-11-14 15:00:34.265091, Speed: 42.26049851705464 km/h
Vehicle ID: 0, Time: 2023-11-14 15:00:35.930983, Speed: 33.383884860210806 km/h
Vehicle ID: 2, Time: 2023-11-14 15:00:36.632674, Speed: 51.23179056014169 km/h
Vehicle ID: 19, Time: 2023-11-14 15:00:45.517942, Speed: 50.51016776962043 km/h
Vehicle ID: 17, Time: 2023-11-14 15:00:48.063562, Speed: 43.351581036292515 km/h
Vehicle ID: 21, Time: 2023-11-14 15:00:49.974330, Speed: 41.98703308021628 km/h
Vehicle ID: 27, Time: 2023-11-14 15:00:54.701049, Speed: 40.71040800474306 km/h
Vehicle ID: 1, Time: 2023-11-15 12:37:47.067631, Speed: 27.63485050692432 km/h
Vehicle ID: 0, Time: 2023-11-15 12:37:48.743456, Speed: 33.504361592952755 km/h
Vehicle ID: 2, Time: 2023-11-15 12:37:49.554379, Speed: 44.393878026235015 km/h
Vehicle ID: 1, Time: 2023-11-16 22:38:33.922191, Speed: 38.45658717177732 km/h
Vehicle ID: 0, Time: 2023-11-16 22:38:35.653086, Speed: 32.74589936045768 km/h
Vehicle ID: 2, Time: 2023-11-16 22:38:36.425626, Speed: 46.59946572386516 km/h
